source_field	include_value	exclude_value	filter_group_id	comments
dataset_name	SHARK_Zoobenthos_2005_KMRS			
dataset_name		SHARK_Zoobenthos_2005_PAG_NLST_HallandsKVK		
dataset_name		SHARK_Zoobenthos_2005_PAG_NLST_Kungsbacka		
dataset_name		SHARK_Zoobenthos_2005_UMSC_Boliden		
dataset_name		SHARK_Zoobenthos_2005-2015_PAG_HAL		
dataset_name		SHARK_Zoobenthos_2005-2017_NATVAT		
dataset_name		SHARK_Zoobenthos_2006_2011_MEDINS		
dataset_name		SHARK_Zoobenthos_2006_HBGMILJO		
dataset_name	SHARK_Zoobenthos_2006_KMRS			
dataset_name		SHARK_Zoobenthos_2006_LNU_Nogersund		
dataset_name		SHARK_Zoobenthos_2006_LNU_Taggen		
dataset_name		SHARK_Zoobenthos_2006_LNU_VAFALL		
dataset_name		SHARK_Zoobenthos_2006_PAG_NLST_Halland		
dataset_name		SHARK_Zoobenthos_2006_PAG_NLST_HallandsKVK		
dataset_name		SHARK_Zoobenthos_2006_PAG_NLST_Kungsbacka		
dataset_name		SHARK_Zoobenthos_2006_UMSC_Boliden		
dataset_name		SHARK_Zoobenthos_2006-2018_PAG_XRK Lerkil		
dataset_name		SHARK_Zoobenthos_2007_2008_LNU_Misterhult		
dataset_name		SHARK_Zoobenthos_2007_2008_LNU_Torhamn		
dataset_name	SHARK_Zoobenthos_2007_2010_SUSE_Nat			
dataset_name		SHARK_Zoobenthos_2007_2011_SUSE_RegGotl		
dataset_name		SHARK_Zoobenthos_2007_2011_SUSE_RegOstergot		
dataset_name		SHARK_Zoobenthos_2007_2011_SUSE_RegStlm		
dataset_name		SHARK_Zoobenthos_2007_2012_PELA		
dataset_name	SHARK_Zoobenthos_2007_2016_DEEP_Asko			
dataset_name		SHARK_Zoobenthos_2007_HBGMILJO		
dataset_name	SHARK_Zoobenthos_2007_KMRS			
dataset_name		SHARK_Zoobenthos_2007_PAG_NLST_Halland		
dataset_name		SHARK_Zoobenthos_2007_PAG_NLST_HallandsKVK		
dataset_name		SHARK_Zoobenthos_2007_PAG_NLST_Kungsbacka		
