scientific_name	AphiaID
Spatulodinium pseudonoctiluca	109923
Staurastrum pingue	609209
Staurastrum tetracerum	577905
Staurodesmus dejectus	578386
Staurodesmus mamillatus	661136
Staurosira berolinensis	665170
Stephanodiscus hantzschii var. pusillus	163414
Stephanopyxis	149630
Stichogloea	410033
Stichogloea doederleinii	572086
Strobilidium epacrum	427382
Strobilidium sphaericum	578585
Strobilidium spiralis	101236
Strobilidium spiralis	101236
Strombidinopsis	101198
Strombidium chlorophilum	595215
Strombidium vestitum	101342
Surirella linearis	176076
Synchaeta	134958
Synedra acus	149188
Synedra delicatissima var. angustissima	176213
Tabellaria	149333
Tabellaria flocculosa var. geniculata	680061
Tabularia	956059
Telonema antarctica	118074
Tetraedriella jovetii	610320
Tetraselmis	134526
Thalassionema	149092
Thalassiosira conferta	549221
Thalassiosiraceae	148904
Thalassiothrix	157081
Tontonia	101196
Treubaria setigera	576716
Tryblionella apiculata	176393
Ulnaria	416120
Ulnaria ulna	447744
Ulnaria ulna var. acus	674837
Urosolenia longiseta	163520
Vanella	120566
Vannella	120566
Warnowia	109491
Warnowia polyphemus	233144
Willea	248174
Woloszynskia	109492
Xanthidium antilopaeum	577683
Zoomastigophora	24
Zygabikodinium lenticulatum	110177
Zygnema	578376
Zygnematales	162693
