scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification	lsid
Hydrobiidae	W. Stimpson, 1865	Family	120	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120	Truncatelloidea	722756	accepted	120	Hydrobiidae	W. Stimpson, 1865	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae		[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Gastropoda - [Subclass] Caenogastropoda - [Order] Littorinimorpha - [Superfamily] Truncatelloidea - [Family] Hydrobiidae	urn:lsid:marinespecies.org:taxname:120
Gastrosaccus sanctus	(Van Beneden, 1861)	Species	120019	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120019	Gastrosaccus	119859	accepted	120019	Gastrosaccus sanctus	(Van Beneden, 1861)	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Gastrosaccus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Gastrosaccinae - [Tribe] Gastrosaccini - [Genus] Gastrosaccus - [Species] Gastrosaccus sanctus	urn:lsid:marinespecies.org:taxname:120019
Gastrosaccus spinifer	(Go�s, 1864)	Species	120020	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120020	Gastrosaccus	119859	accepted	120020	Gastrosaccus spinifer	(Go�s, 1864)	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Gastrosaccus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Gastrosaccinae - [Tribe] Gastrosaccini - [Genus] Gastrosaccus - [Species] Gastrosaccus spinifer	urn:lsid:marinespecies.org:taxname:120020
Hemimysis abyssicola	G.O. Sars, 1869	Species	120024	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120024	Hemimysis	119861	accepted	120024	Hemimysis abyssicola	G.O. Sars, 1869	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Hemimysis	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Hemimysini - [Genus] Hemimysis - [Species] Hemimysis abyssicola	urn:lsid:marinespecies.org:taxname:120024
Hemimysis anomala	G.O. Sars, 1907	Species	120025	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120025	Hemimysis	119861	accepted	120025	Hemimysis anomala	G.O. Sars, 1907	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Hemimysis	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Hemimysini - [Genus] Hemimysis - [Species] Hemimysis anomala	urn:lsid:marinespecies.org:taxname:120025
Leptomysis gracilis	(G.O. Sars, 1864)	Species	120052	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120052	Leptomysis	119870	accepted	120052	Leptomysis gracilis	(G.O. Sars, 1864)	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Leptomysis	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Leptomysinae - [Tribe] Leptomysini - [Genus] Leptomysis - [Species] Leptomysis gracilis	urn:lsid:marinespecies.org:taxname:120052
Mesopodopsis slabberi	(Van Beneden, 1861)	Species	120072	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120072	Mesopodopsis	119876	accepted	120072	Mesopodopsis slabberi	(Van Beneden, 1861)	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Mesopodopsis	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Mysini - [Genus] Mesopodopsis - [Species] Mesopodopsis slabberi	urn:lsid:marinespecies.org:taxname:120072
Mysis mixta	Liljeborg, 1853	Species	120113	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120113	Mysis	119886	accepted	120113	Mysis mixta	Liljeborg, 1853	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Mysis	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Mysini - [Genus] Mysis - [Species] Mysis mixta	urn:lsid:marinespecies.org:taxname:120113
Mysis relicta	Lov�n, 1862	Species	120120	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120120	Mysis	119886	accepted	120120	Mysis relicta	Lov�n, 1862	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Mysis	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Mysini - [Genus] Mysis - [Species] Mysis relicta	urn:lsid:marinespecies.org:taxname:120120
Neomysis integer	(Leach, 1814)	Species	120136	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120136	Neomysis	119888	accepted	120136	Neomysis integer	(Leach, 1814)	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Neomysis	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Neomysini - [Genus] Neomysis - [Species] Neomysis integer	urn:lsid:marinespecies.org:taxname:120136
Praunus flexuosus	(M�ller, 1776)	Species	120177	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120177	Praunus	119898	accepted	120177	Praunus flexuosus	(M�ller, 1776)	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Praunus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Paramysini - [Genus] Praunus - [Species] Praunus flexuosus	urn:lsid:marinespecies.org:taxname:120177
Praunus inermis	(Rathke, 1843)	Species	120178	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120178	Praunus	119898	accepted	120178	Praunus inermis	(Rathke, 1843)	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Praunus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Paramysini - [Genus] Praunus - [Species] Praunus inermis	urn:lsid:marinespecies.org:taxname:120178
Praunus neglectus	(G.O. Sars, 1869)	Species	120180	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120180	Praunus	119898	accepted	120180	Praunus neglectus	(G.O. Sars, 1869)	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Praunus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Paramysini - [Genus] Praunus - [Species] Praunus neglectus	urn:lsid:marinespecies.org:taxname:120180
Pseudomma affine	G.O. Sars, 1870	Species	120182	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120182	Pseudomma	119900	accepted	120182	Pseudomma affine	G.O. Sars, 1870	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Pseudomma	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Erythropinae - [Tribe] Pseudommini - [Genus] Pseudomma - [Species] Pseudomma affine	urn:lsid:marinespecies.org:taxname:120182
Schistomysis ornata	(G. O. Sars, 1864)	Species	120204	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120204	Schistomysis	119905	accepted	120204	Schistomysis ornata	(G. O. Sars, 1864)	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Schistomysis	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Mysida - [Family] Mysidae - [Subfamily] Mysinae - [Tribe] Paramysini - [Genus] Schistomysis - [Species] Schistomysis ornata	urn:lsid:marinespecies.org:taxname:120204
